,Team,ScoreDescending,Overs,RPO,Inns,Result,Opposition,Ground,Start_Date,Year,Runs,Range
0,England,444/3,50.0,8.88,1,won,vPakistan,Nottingham,30 Aug 2016,2016,444,Greater than 400 runs
1,South Africa,439/2,50.0,8.78,1,won,vWest Indies,Johannesburg,18 Jan 2015,2015,439,Greater than 400 runs
2,South Africa,438/4,50.0,8.76,1,won,vIndia,Mumbai,25 Oct 2015,2015,438,Greater than 400 runs
3,India,418/5,50.0,8.36,1,won,vWest Indies,Indore,8 Dec 2011,2011,418,Greater than 400 runs
4,Australia,417/6,50.0,8.34,1,won,vAfghanistan,Perth,4 Mar 2015,2015,417,Greater than 400 runs
5,India,414/7,50.0,8.28,1,won,vSri Lanka,Rajkot,15 Dec 2009,2009,414,Greater than 400 runs
6,India,413/5,50.0,8.26,1,won,vBermuda,Port of Spain,19 Mar 2007,2007,413,Greater than 400 runs
7,Sri Lanka,411/8,50.0,8.22,2,lost,vIndia,Rajkot,15 Dec 2009,2009,411,Greater than 400 runs
8,South Africa,411/4,50.0,8.22,1,won,vIreland,Canberra,3 Mar 2015,2015,411,Greater than 400 runs
9,South Africa,408/5,50.0,8.16,1,won,vWest Indies,Sydney,27 Feb 2015,2015,408,Greater than 400 runs
10,England,408/9,50.0,8.16,1,won,vNew Zealand,Birmingham,9 Jun 2015,2015,408,Greater than 400 runs
11,India,404/5,50.0,8.08,1,won,vSri Lanka,Kolkata,13 Nov 2014,2014,404,Greater than 400 runs
12,New Zealand,402/2,50.0,8.04,1,won,vIreland,Aberdeen,1 Jul 2008,2008,402,Greater than 400 runs
13,India,401/3,50.0,8.02,1,won,vSouth Africa,Gwalior,24 Feb 2010,2010,401,Greater than 400 runs
14,South Africa,399/6,50.0,7.98,1,won,vZimbabwe,Benoni,22 Oct 2010,2010,399,B'twn 300 & 400 runs
15,England,399/9,50.0,7.98,1,won,vSouth Africa,Bloemfontein,3 Feb 2016,2016,399,B'twn 300 & 400 runs
16,New Zealand,398/5,50.0,7.96,1,won,vEngland,The Oval,12 Jun 2015,2015,398,B'twn 300 & 400 runs
17,New Zealand,393/6,50.0,7.86,1,won,vWest Indies,Wellington,21 Mar 2015,2015,393,B'twn 300 & 400 runs
18,South Africa,392/6,50.0,7.84,1,won,vPakistan,Centurion,4 Feb 2007,2007,392,B'twn 300 & 400 runs
19,India,392/4,50.0,7.84,1,won,vNew Zealand,Christchurch,8 Mar 2009,2009,392,B'twn 300 & 400 runs
20,India,387/5,50.0,7.74,1,won,vEngland,Rajkot,14 Nov 2008,2008,387,B'twn 300 & 400 runs
21,Pakistan,385/7,50.0,7.7,1,won,vBangladesh,Dambulla,21 Jun 2010,2010,385,B'twn 300 & 400 runs
22,South Africa,384/6,50.0,7.68,1,won,vSri Lanka,Centurion,10 Feb 2017,2017,384,B'twn 300 & 400 runs
23,India,383/6,50.0,7.66,1,won,vAustralia,Bengaluru,2 Nov 2013,2013,383,B'twn 300 & 400 runs
24,India,381/6,50.0,7.62,1,won,vEngland,Cuttack,19 Jan 2017,2017,381,B'twn 300 & 400 runs
