,Player,Team,Mat,Inns,Overs,Mdns,Runs,WktsDescending,BBI,Ave,Econ,SR,4,5,Season
0,B Lee,AUS,18,18,143.2,9,703,29,5/27,24.24,4.90,29.6,0,2,2007/08
1,NW Bracken,AUS,17,17,140.3,14,629,26,5/47,24.19,4.47,32.4,1,1,2007/08
2,KD Mills,NZ,14,13,120.5,12,556,26,5/25,21.38,4.60,27.8,2,1,2007/08
3,MG Johnson,AUS,16,16,134.0,13,571,25,5/26,22.84,4.26,32.1,0,1,2007/08
4,Shahid Afridi,PAK,18,18,173.5,1,821,25,3/33,32.84,4.72,41.7,0,0,2007/08
5,Sohail Tanvir,PAK,16,16,135.5,9,613,24,4/34,25.54,4.51,33.9,2,0,2007/08
6,GB Hogg,AUS,17,15,125.0,8,583,23,4/49,25.34,4.66,32.6,1,0,2007/08
7,Iftikhar Anjum,PAK,14,14,112.0,6,600,23,3/33,26.08,5.35,29.2,0,0,2007/08
8,IK Pathan,INDIA,22,21,170.3,6,928,23,4/41,40.34,5.44,44.4,1,0,2007/08
9,S Sreesanth,INDIA,12,11,86.2,1,528,21,3/31,25.14,6.11,24.6,0,0,2007/08
10,DL Vettori,NZ,14,13,116.1,8,422,20,5/7,21.10,3.63,34.8,0,1,2007/08
11,SCJ Broad,ENG,10,10,83.4,3,418,19,3/26,22.00,4.99,26.4,0,0,2007/08
12,CK Langeveldt,SA,11,11,93.2,4,449,19,3/31,23.63,4.81,29.4,0,0,2007/08
13,SL Malinga,SL,13,13,109.4,9,560,18,4/47,31.11,5.10,36.5,1,0,2007/08
14,JA Morkel,SA,12,12,96.0,5,466,18,4/29,25.88,4.85,32.0,2,0,2007/08
15,Shoaib Malik,PAK,20,17,120.5,8,579,18,3/34,32.16,4.79,40.2,0,0,2007/08
16,RJ Sidebottom,ENG,10,10,93.1,9,371,18,3/19,20.61,3.98,31.0,0,0,2007/08
17,JE Taylor,WI,10,10,92.3,7,385,18,5/48,21.38,4.16,30.8,1,1,2007/08
18,JR Hopes,AUS,19,17,115.5,6,450,17,2/16,26.47,3.88,40.8,0,0,2007/08
19,A Nel,SA,10,10,87.0,6,398,17,4/27,23.41,4.57,30.7,1,0,2007/08
20,Umar Gul,PAK,13,13,107.5,9,596,16,3/48,37.25,5.52,40.4,0,0,2007/08
21,DJ Bravo,WI,12,10,67.5,2,340,15,4/32,22.66,5.01,27.1,1,0,2007/08
